player_id,player_display_name,team,season,position,projected_games_played,projected_ppr_per_game,projected_ppr,projected_receptions,projected_half_ppr,projected_half_ppr_per_game,ci_low,ci_high,position_rank,is_rookie,baseline_pts,baseline_rank,vbd,vbd_rank_overall,tier,consensus_rank,rank_diff,label
00-0038544,Quentin Johnston,LAC,2026,WR,,10.338669776916504,165.41871643066406,59.965187072753906,135.4361228942871,8.464757680892944,148.3720703125,174.2144317626953,34,False,130.66782760620117,36.0,4.7682952880859375,74,3,49.09,-24.909999999999997,bust
00-0033908,Cooper Kupp,SEA,2026,WR,,10.473812103271484,167.58099365234375,65.30403137207031,134.9289779663086,8.433061122894287,109.11930847167969,150.04638671875,33,False,130.66782760620117,36.0,4.261150360107422,75,3,91.27,16.269999999999996,
00-0034753,Mark Andrews,BAL,2026,TE,,9.094164848327637,145.5066375732422,52.28251647949219,119.3653793334961,7.460336208343506,101.77578735351562,143.4519500732422,10,False,115.28140640258789,12.0,4.083972930908203,76,1,17.44,-58.56,bust
00-0035659,Terry McLaurin,WAS,2026,WR,,10.27876091003418,164.46017456054688,60.11885452270508,134.40074729919434,8.400046706199646,135.84738159179688,184.48880004882812,35,False,130.66782760620117,36.0,3.732919692993164,77,3,22.32,-54.68,bust
00-0036355,Justin Herbert,LAC,2026,QB,15.848987,17.262304306030273,273.59002685546875,0.15175044536590576,273.5141516327858,17.094634477049112,259.4886474609375,311.0359191894531,10,False,269.9794600009918,12.0,3.534691631793976,78,1,8.17,-69.83,bust
00-0036971,Trevor Lawrence,JAX,2026,QB,14.447262,18.88451385498047,272.82952880859375,0.12139478325843811,272.76883141696453,17.048051963560283,250.60049438476562,296.0371398925781,11,False,269.9794600009918,12.0,2.7893714159727097,79,1,9.72,-69.28,bust
00-0033288,George Kittle,SF,2026,TE,,8.810653686523438,140.970458984375,49.56781005859375,116.18655395507812,7.261659622192383,124.43768310546875,188.98133850097656,12,False,115.28140640258789,12.0,0.9051475524902344,80,1,13.19,-66.81,bust
00-0034348,Courtland Sutton,DEN,2026,WR,,10.079405784606934,161.27049255371094,61.20532989501953,130.66782760620117,8.166739225387573,145.46681213378906,193.6019744873047,36,False,130.66782760620117,36.0,0.0,81,3,33.68,-47.32,bust
00-0034844,Saquon Barkley,PHI,2026,RB,,8.79533838013604,140.72541408217663,26.1957549043064,127.62753663002343,7.976721039376464,125.20837914750805,162.3989267171433,26,False,127.62753663002343,24.0,0.0,82,3,9.82,-72.18,bust
00-0030061,Zach Ertz,WAS,2026,TE,,8.839944839477539,141.43911743164062,52.31542205810547,115.28140640258789,7.205087900161743,99.92288208007812,152.09695434570312,11,False,115.28140640258789,12.0,0.0,83,1,47.4,-35.6,bust
00-0040691,Jaxson Dart,NYG,2026,QB,15.212558,17.76276206970215,270.217041015625,0.4751620292663574,269.9794600009918,16.87371625006199,254.3684539794922,294.58734130859375,12,False,269.9794600009918,12.0,0.0,84,1,8.69,-75.31,bust
00-0031381,Davante Adams,LA,2026,WR,,9.444137573242188,151.106201171875,41.7249755859375,130.24371337890625,8.14023208618164,133.5303955078125,213.6380615234375,40,False,130.66782760620117,36.0,-0.4241142272949219,85,3,22.35,-62.65,bust
00-0036158,J.K. Dobbins,DEN,2026,RB,,8.364498391539817,133.83197426463707,14.486680159846205,126.58863418471395,7.911789636544622,102.21721123833103,150.80080050834638,28,False,127.62753663002343,24.0,-1.0389024453094748,86,3,37.18,-48.82,bust
00-0038606,Parker Washington,JAX,2026,WR,,9.706987380981445,155.31179809570312,52.72419738769531,128.94969940185547,8.059356212615967,134.69369506835938,181.92347717285156,38,False,130.66782760620117,36.0,-1.7181282043457031,87,3,43.21,-43.79,bust
00-0039065,Sam LaPorta,DET,2026,TE,,8.741689682006836,139.86703491210938,52.956214904785156,113.3889274597168,7.0868079662323,121.52193450927734,185.68569946289062,13,False,115.28140640258789,12.0,-1.8924789428710938,88,1,7.44,-80.56,bust
00-0040730,RJ Harvey,DEN,2026,RB,,9.41968681873319,150.71498909973104,52.8359033782771,124.29703741059248,7.76856483816203,125.03480625990726,183.17492292160046,23,False,127.62753663002343,24.0,-3.3304992194309477,89,3,26.21,-62.79,bust
00-0039738,Blake Corum,LA,2026,RB,,8.37935127640815,134.0696204225304,19.826531875957617,124.15635448455157,7.759772155284473,98.91745814000312,140.24311450475213,27,False,127.62753663002343,24.0,-3.4711821454718574,90,3,36.91,-53.09,bust
00-0039146,Jayden Reed,GB,2026,WR,,9.71125316619873,155.3800506591797,56.49186325073242,127.13411903381348,7.945882439613342,97.44004821777344,170.70156860351562,37,False,130.66782760620117,36.0,-3.5337085723876953,91,3,46.76,-44.24,bust
00-0040663,Harold Fannin Jr.,CLE,2026,TE,,8.735450744628906,139.7672119140625,60.215797424316406,109.6593132019043,6.8537070751190186,126.89057922363281,176.25277709960938,14,False,115.28140640258789,12.0,-5.622093200683594,92,1,6.25,-85.75,bust
00-0039165,Zach Charbonnet,SEA,2026,RB,,8.057576414887667,128.92122263820266,14.467478060125083,121.68748360814011,7.605467725508757,93.31968996824753,149.08623797532226,31,False,127.62753663002343,24.0,-5.940053021883315,93,3,43.06,-49.94,bust
00-0040130,Jayden Higgins,HOU,2026,WR,,9.086858749389648,145.38973999023438,43.62677764892578,123.57635116577148,7.723521947860718,111.29544830322266,158.5717315673828,46,False,130.66782760620117,36.0,-7.0914764404296875,94,3,50.82,-43.18,bust
00-0036919,Kenneth Gainwell,TB,2026,RB,,8.818987375314231,141.1037980050277,41.14961793143647,120.52898903930947,7.533061814956842,124.24324193141136,170.39542214291134,25,False,127.62753663002343,24.0,-7.098547590713963,95,3,36.21,-58.79,bust
00-0039901,Keon Coleman,BUF,2026,WR,,9.241116523742676,147.8578643798828,48.66949462890625,123.52311706542969,7.7201948165893555,126.69500732421875,164.7532196044922,43,False,130.66782760620117,36.0,-7.144710540771484,96,3,91.57,-4.430000000000007,
00-0035640,DK Metcalf,PIT,2026,WR,,9.486515998840332,151.7842559814453,56.7531623840332,123.40767478942871,7.712979674339294,140.90635681152344,187.68121337890625,39,False,130.66782760620117,36.0,-7.260152816772461,97,3,34.88,-62.12,bust
00-0038124,Christian Watson,GB,2026,WR,,9.080146789550781,145.2823486328125,45.5045051574707,122.53009605407715,7.658131003379822,117.89562225341797,163.7130584716797,47,False,130.66782760620117,36.0,-8.137731552124023,98,3,29.18,-68.82,bust
00-0037816,Romeo Doubs,NE,2026,WR,,9.428879737854004,150.86207580566406,56.83867263793945,122.44273948669434,7.652671217918396,136.42552185058594,176.9735107421875,41,False,130.66782760620117,36.0,-8.225088119506836,99,3,52.76,-46.24,bust
00-0039847,Theo Johnson,NYG,2026,TE,,8.49159049987793,135.86544799804688,57.93281936645508,106.89903831481934,6.6811898946762085,106.17457580566406,156.56442260742188,15,False,115.28140640258789,12.0,-8.382368087768555,100,1,32.81,-67.19,bust
00-0039338,Brock Bowers,LV,2026,TE,,8.481070518493652,135.69712829589844,58.56331253051758,106.41547203063965,6.650967001914978,140.44900512695312,208.01632690429688,16,False,115.28140640258789,12.0,-8.865934371948242,101,1,1.72,-99.28,bust
